 ;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
SLOVENIJA;4.1;3.8;3.8;3.8;3.9;3.6;3.5;3.5;3.4;3.3;2.9;3.2;3.2;3.3;3.2;3.2;3.3;3.4;3.0;3.2;3.1;3.2;3.1
Pomurska;4.2;4.2;4.0;4.0;3.7;3.8;3.4;3.6;3.0;2.8;2.4;2.6;2.5;2.6;2.5;2.5;2.6;3.0;2.8;2.9;3.3;3.2;3.1
Podravska;4.0;3.5;3.8;3.7;3.8;3.5;3.4;3.5;3.0;3.2;2.6;2.8;2.7;3.1;2.8;2.7;2.9;3.1;2.8;3.1;3.1;3.3;3.4
Koroška;4.0;3.2;3.0;3.3;3.4;3.0;2.9;2.9;2.9;2.3;2.4;3.2;3.2;2.9;2.8;3.3;3.0;3.5;3.0;3.2;3.3;3.1;3.2
Savinjska;4.1;3.5;3.5;3.6;3.7;3.5;3.2;3.1;3.0;2.9;2.5;2.8;2.7;2.9;2.8;2.9;2.8;3.3;2.9;3.0;3.0;3.1;2.9
Zasavska;3.8;3.3;3.3;3.0;3.8;3.2;3.0;2.6;3.3;2.8;2.5;3.1;2.7;2.6;3.1;3.0;2.8;3.2;3.0;3.5;3.2;3.3;3.4
Posavska;4.0;3.9;3.7;3.9;3.7;3.4;3.3;3.3;3.4;3.0;2.5;2.4;3.0;2.9;3.0;3.0;3.4;3.3;2.7;3.6;3.1;3.2;3.2
Jugovzhodna Slovenija;4.2;3.8;4.1;4.0;3.2;4.2;3.4;3.4;3.1;3.2;3.1;3.1;3.1;3.6;3.4;3.4;3.3;3.5;3.1;3.1;3.0;3.1;3.4
Osrednjeslovenska;4.3;4.0;3.8;3.8;4.4;3.8;3.9;3.9;3.9;3.7;3.2;3.6;3.6;3.9;3.8;3.6;3.7;3.8;3.3;3.4;3.3;3.4;3.2
Gorenjska;4.4;3.9;3.9;4.1;4.3;3.8;3.6;3.7;3.6;3.6;2.8;3.3;3.4;3.3;3.3;3.3;3.6;3.6;3.3;3.4;3.2;3.4;2.9
Primorsko-notranjska;3.8;3.7;4.2;4.0;4.0;3.2;3.5;3.5;4.0;3.4;3.3;3.6;3.3;3.5;3.3;3.6;3.4;3.4;2.7;3.0;2.7;3.4;3.2
Goriška;4.1;3.9;4.0;3.8;3.5;3.4;3.3;3.3;3.2;3.3;3.4;3.4;3.5;3.2;3.2;3.4;3.1;3.5;2.8;3.0;3.0;2.6;2.7
Obalno-kraška;4.0;4.3;3.8;4.0;3.7;3.5;3.4;4.2;3.7;3.5;3.4;3.5;3.4;3.5;3.1;3.2;3.2;3.3;3.0;3.1;2.9;3.3;2.8